Student_ID,Department,Semester,Subject_ID,Internal_Marks,External_Marks,Final_Marks,Attendance,Grade,Grade_Point,Pass_Fail
ST00006,Artificial Intelligence,7,AI103,23,25,48,81,D,5,Pass
ST00006,Artificial Intelligence,7,AI104,28,36,64,77,B,7,Pass
ST00006,Artificial Intelligence,7,AI105,29,30,59,64,C,6,Pass
ST00007,Information Technology,5,IT101,23,67,90,61,A+,10,Pass
ST00007,Information Technology,5,IT102,25,57,82,77,A,9,Pass
ST00007,Information Technology,5,IT103,23,54,77,70,B+,8,Pass
ST00007,Information Technology,5,IT104,26,54,80,97,A,9,Pass
ST00007,Information Technology,5,IT105,29,67,96,91,A+,10,Pass
ST00008,Mechanical,2,ME101,20,24,44,75,D,5,Pass
ST00008,Mechanical,2,ME102,21,33,54,90,C,6,Pass
ST00008,Mechanical,2,ME103,18,33,51,71,C,6,Pass
ST00008,Mechanical,2,ME104,24,34,58,84,C,6,Pass
ST00008,Mechanical,2,ME105,21,21,42,98,D,5,Pass
ST00009,Artificial Intelligence,6,AI101,17,26,43,84,D,5,Pass
ST00009,Artificial Intelligence,6,AI102,29,60,89,82,A,9,Pass
ST00009,Artificial Intelligence,6,AI103,29,66,95,82,A+,10,Pass
ST00009,Artificial Intelligence,6,AI104,26,37,63,74,B,7,Pass
ST00009,Artificial Intelligence,6,AI105,29,32,61,77,B,7,Pass
ST00010,Business Analytics,6,BA101,20,24,44,79,D,5,Pass
ST00010,Business Analytics,6,BA102,22,30,52,74,C,6,Pass
ST00010,Business Analytics,6,BA103,18,29,47,76,D,5,Pass
ST00010,Business Analytics,6,BA104,27,30,57,91,C,6,Pass
ST00010,Business Analytics,6,BA105,18,36,54,68,C,6,Pass
ST00011,Business Analytics,8,BA101,21,32,53,78,C,6,Pass
ST00011,Business Analytics,8,BA102,24,21,45,67,D,5,Pass
ST00011,Business Analytics,8,BA103,18,42,60,78,B,7,Pass
ST00011,Business Analytics,8,BA104,24,36,60,78,B,7,Pass
ST00011,Business Analytics,8,BA105,18,51,69,72,B,7,Pass
ST00012,Electronics,6,EC101,21,45,66,100,B,7,Pass
ST00012,Electronics,6,EC102,29,21,50,62,C,6,Pass
ST00012,Electronics,6,EC103,25,25,50,94,C,6,Pass
ST00012,Electronics,6,EC104,21,22,43,90,D,5,Pass
ST00012,Electronics,6,EC105,21,26,47,63,D,5,Pass
ST00013,Business Analytics,4,BA101,20,54,74,72,B+,8,Pass
ST00013,Business Analytics,4,BA102,23,66,89,78,A,9,Pass
ST00013,Business Analytics,4,BA103,20,21,41,97,D,5,Pass
ST00013,Business Analytics,4,BA104,26,22,48,60,D,5,Pass
ST00013,Business Analytics,4,BA105,23,49,72,89,B+,8,Pass
ST00014,Artificial Intelligence,3,AI101,18,40,58,66,C,6,Pass
ST00014,Artificial Intelligence,3,AI102,26,33,59,93,C,6,Pass
ST00014,Artificial Intelligence,3,AI103,16,42,58,62,C,6,Pass
ST00014,Artificial Intelligence,3,AI104,21,25,46,79,D,5,Pass
ST00014,Artificial Intelligence,3,AI105,20,21,41,96,D,5,Pass
ST00015,Data Science,2,DS101,28,23,51,82,C,6,Pass
ST00015,Data Science,2,DS102,29,34,63,95,B,7,Pass
ST00015,Data Science,2,DS103,25,69,94,71,A+,10,Pass
ST00015,Data Science,2,DS104,19,47,66,97,B,7,Pass
ST00015,Data Science,2,DS105,22,54,76,97,B+,8,Pass
ST00016,Electronics,7,EC101,25,67,92,83,A+,10,Pass
ST00016,Electronics,7,EC102,29,42,71,94,B+,8,Pass
ST00016,Electronics,7,EC103,29,59,88,76,A,9,Pass
ST00016,Electronics,7,EC104,27,53,80,97,A,9,Pass
ST00016,Electronics,7,EC105,19,44,63,70,B,7,Pass
ST00017,Mechanical,6,ME101,26,39,65,67,B,7,Pass
ST00017,Mechanical,6,ME102,16,45,61,78,B,7,Pass
ST00017,Mechanical,6,ME103,17,41,58,99,C,6,Pass
ST00017,Mechanical,6,ME104,23,37,60,100,B,7,Pass
ST00017,Mechanical,6,ME105,18,66,84,94,A,9,Pass
ST00018,Data Science,6,DS101,22,35,57,76,C,6,Pass
ST00018,Data Science,6,DS102,16,59,75,66,B+,8,Pass
ST00018,Data Science,6,DS103,30,40,70,76,B+,8,Pass
ST00018,Data Science,6,DS104,21,54,75,63,B+,8,Pass
ST00018,Data Science,6,DS105,16,22,38,67,F,0,Fail
ST00019,Information Technology,5,IT101,21,27,48,74,D,5,Pass
ST00019,Information Technology,5,IT102,20,51,71,88,B+,8,Pass
ST00019,Information Technology,5,IT103,27,37,64,62,B,7,Pass
ST00019,Information Technology,5,IT104,17,67,84,61,A,9,Pass
ST00019,Information Technology,5,IT105,26,55,81,87,A,9,Pass
ST00020,Electronics,1,EC101,28,43,71,93,B+,8,Pass
ST00020,Electronics,1,EC102,24,27,51,65,C,6,Pass
ST00020,Electronics,1,EC103,26,65,91,79,A+,10,Pass
ST00020,Electronics,1,EC104,16,22,38,78,F,0,Fail
ST00020,Electronics,1,EC105,28,59,87,83,A,9,Pass
ST00021,Civil,7,CV101,19,26,45,96,D,5,Pass
ST00021,Civil,7,CV102,30,46,76,76,B+,8,Pass
ST00021,Civil,7,CV103,19,69,88,100,A,9,Pass
ST00021,Civil,7,CV104,25,27,52,72,C,6,Pass
ST00021,Civil,7,CV105,19,42,61,71,B,7,Pass
ST00022,Electronics,2,EC101,15,46,61,79,B,7,Pass
ST00022,Electronics,2,EC102,20,70,90,98,A+,10,Pass
ST00022,Electronics,2,EC103,28,61,89,66,A,9,Pass
ST00022,Electronics,2,EC104,16,37,53,79,C,6,Pass
ST00022,Electronics,2,EC105,18,62,80,89,A,9,Pass
ST00023,Civil,6,CV101,20,51,71,86,B+,8,Pass
ST00023,Civil,6,CV102,29,51,80,88,A,9,Pass
ST00023,Civil,6,CV103,29,21,50,70,C,6,Pass
ST00023,Civil,6,CV104,15,41,56,75,C,6,Pass
ST00023,Civil,6,CV105,21,47,68,71,B,7,Pass
ST00024,Mechanical,1,ME101,28,42,70,81,B+,8,Pass
ST00024,Mechanical,1,ME102,20,45,65,94,B,7,Pass
ST00024,Mechanical,1,ME103,16,49,65,74,B,7,Pass
ST00024,Mechanical,1,ME104,16,31,47,88,D,5,Pass
ST00024,Mechanical,1,ME105,23,47,70,87,B+,8,Pass
ST00025,Mechanical,8,ME101,16,33,49,66,D,5,Pass
ST00025,Mechanical,8,ME102,15,70,85,73,A,9,Pass
ST00025,Mechanical,8,ME103,22,20,42,90,D,5,Pass
ST00025,Mechanical,8,ME104,23,63,86,82,A,9,Pass
ST00025,Mechanical,8,ME105,19,38,57,69,C,6,Pass
ST00026,Mechanical,2,ME101,21,36,57,79,C,6,Pass
ST00026,Mechanical,2,ME102,18,50,68,93,B,7,Pass
ST00026,Mechanical,2,ME103,21,55,76,83,B+,8,Pass
ST00026,Mechanical,2,ME104,24,36,60,87,B,7,Pass
ST00026,Mechanical,2,ME105,26,23,49,84,D,5,Pass
ST00027,Information Technology,3,IT101,28,45,73,61,B+,8,Pass
ST00027,Information Technology,3,IT102,27,24,51,94,C,6,Pass
ST00027,Information Technology,3,IT103,27,54,81,82,A,9,Pass
ST00027,Information Technology,3,IT104,17,24,41,60,D,5,Pass
ST00027,Information Technology,3,IT105,30,53,83,92,A,9,Pass
ST00028,Civil,5,CV101,29,35,64,88,B,7,Pass
ST00028,Civil,5,CV102,23,36,59,84,C,6,Pass
ST00028,Civil,5,CV103,24,21,45,81,D,5,Pass
ST00028,Civil,5,CV104,26,57,83,91,A,9,Pass
ST00028,Civil,5,CV105,24,48,72,95,B+,8,Pass
ST00029,Civil,6,CV101,17,46,63,85,B,7,Pass
ST00029,Civil,6,CV102,22,42,64,71,B,7,Pass
ST00029,Civil,6,CV103,17,29,46,67,D,5,Pass
ST00029,Civil,6,CV104,29,69,98,67,A+,10,Pass
ST00029,Civil,6,CV105,21,65,86,77,A,9,Pass
ST00030,Electronics,7,EC101,21,67,88,92,A,9,Pass
ST00030,Electronics,7,EC102,18,60,78,84,B+,8,Pass
ST00030,Electronics,7,EC103,25,38,63,79,B,7,Pass
ST00030,Electronics,7,EC104,30,25,55,80,C,6,Pass
ST00030,Electronics,7,EC105,23,58,81,78,A,9,Pass
ST00031,Computer Science,3,CS101,27,42,69,98,B,7,Pass
ST00031,Computer Science,3,CS102,20,46,66,75,B,7,Pass
ST00031,Computer Science,3,CS103,21,48,69,66,B,7,Pass
ST00031,Computer Science,3,CS104,25,40,65,75,B,7,Pass
ST00031,Computer Science,3,CS105,21,40,61,86,B,7,Pass
ST00032,Artificial Intelligence,4,AI101,16,33,49,73,D,5,Pass
ST00032,Artificial Intelligence,4,AI102,27,56,83,94,A,9,Pass
ST00032,Artificial Intelligence,4,AI103,16,29,45,62,D,5,Pass
ST00032,Artificial Intelligence,4,AI104,26,22,48,100,D,5,Pass
ST00032,Artificial Intelligence,4,AI105,20,67,87,91,A,9,Pass
ST00033,Business Analytics,8,BA101,21,24,45,67,D,5,Pass
ST00033,Business Analytics,8,BA102,17,64,81,78,A,9,Pass
ST00033,Business Analytics,8,BA103,23,63,86,93,A,9,Pass
ST00033,Business Analytics,8,BA104,30,59,89,95,A,9,Pass
ST00033,Business Analytics,8,BA105,23,26,49,88,D,5,Pass
ST00034,Information Technology,6,IT101,26,53,79,84,B+,8,Pass
ST00034,Information Technology,6,IT102,20,25,45,68,D,5,Pass
ST00034,Information Technology,6,IT103,30,57,87,70,A,9,Pass
ST00034,Information Technology,6,IT104,24,21,45,76,D,5,Pass
ST00034,Information Technology,6,IT105,18,36,54,77,C,6,Pass
ST00035,Electronics,6,EC101,22,64,86,94,A,9,Pass
ST00035,Electronics,6,EC102,16,63,79,72,B+,8,Pass
ST00035,Electronics,6,EC103,21,20,41,65,D,5,Pass
ST00035,Electronics,6,EC104,24,50,74,80,B+,8,Pass
ST00035,Electronics,6,EC105,16,63,79,98,B+,8,Pass
ST00036,Computer Science,5,CS101,16,44,60,68,B,7,Pass
ST00036,Computer Science,5,CS102,29,49,78,69,B+,8,Pass
ST00036,Computer Science,5,CS103,29,67,96,90,A+,10,Pass
ST00036,Computer Science,5,CS104,22,70,92,96,A+,10,Pass
ST00036,Computer Science,5,CS105,20,43,63,75,B,7,Pass
ST00037,Data Science,5,DS101,26,28,54,74,C,6,Pass
ST00037,Data Science,5,DS102,29,51,80,76,A,9,Pass
ST00037,Data Science,5,DS103,16,25,41,99,D,5,Pass
ST00037,Data Science,5,DS104,30,42,72,65,B+,8,Pass
ST00037,Data Science,5,DS105,30,38,68,99,B,7,Pass
ST00038,Business Analytics,6,BA101,27,48,75,74,B+,8,Pass
ST00038,Business Analytics,6,BA102,26,33,59,75,C,6,Pass
ST00038,Business Analytics,6,BA103,16,38,54,82,C,6,Pass
ST00038,Business Analytics,6,BA104,24,30,54,80,C,6,Pass
ST00038,Business Analytics,6,BA105,26,45,71,85,B+,8,Pass
ST00039,Artificial Intelligence,8,AI101,17,51,68,91,B,7,Pass
ST00039,Artificial Intelligence,8,AI102,20,21,41,91,D,5,Pass
ST00039,Artificial Intelligence,8,AI103,27,27,54,67,C,6,Pass
ST00039,Artificial Intelligence,8,AI104,27,46,73,68,B+,8,Pass
ST00039,Artificial Intelligence,8,AI105,18,57,75,86,B+,8,Pass
ST00040,Information Technology,8,IT101,24,43,67,91,B,7,Pass
ST00040,Information Technology,8,IT102,26,65,91,90,A+,10,Pass
ST00040,Information Technology,8,IT103,15,51,66,88,B,7,Pass
ST00040,Information Technology,8,IT104,17,39,56,70,C,6,Pass
ST00040,Information Technology,8,IT105,15,61,76,69,B+,8,Pass
ST00041,Civil,3,CV101,21,36,57,66,C,6,Pass
ST00041,Civil,3,CV102,18,24,42,73,D,5,Pass
ST00041,Civil,3,CV103,18,33,51,68,C,6,Pass
ST00041,Civil,3,CV104,30,28,58,87,C,6,Pass
ST00041,Civil,3,CV105,20,57,77,86,B+,8,Pass
ST00042,Civil,8,CV101,20,57,77,85,B+,8,Pass
ST00042,Civil,8,CV102,24,27,51,71,C,6,Pass
ST00042,Civil,8,CV103,19,48,67,84,B,7,Pass
ST00042,Civil,8,CV104,26,34,60,79,B,7,Pass
ST00042,Civil,8,CV105,21,29,50,98,C,6,Pass
ST00043,Electronics,3,EC101,16,60,76,65,B+,8,Pass
ST00043,Electronics,3,EC102,28,49,77,78,B+,8,Pass
ST00043,Electronics,3,EC103,18,20,38,67,F,0,Fail
ST00043,Electronics,3,EC104,24,63,87,94,A,9,Pass
ST00043,Electronics,3,EC105,27,59,86,75,A,9,Pass
ST00044,Business Analytics,4,BA101,26,67,93,73,A+,10,Pass
ST00044,Business Analytics,4,BA102,20,64,84,93,A,9,Pass
ST00044,Business Analytics,4,BA103,29,58,87,94,A,9,Pass
ST00044,Business Analytics,4,BA104,26,21,47,69,D,5,Pass
ST00044,Business Analytics,4,BA105,29,32,61,69,B,7,Pass
ST00045,Information Technology,2,IT101,19,31,50,91,C,6,Pass
ST00045,Information Technology,2,IT102,27,34,61,93,B,7,Pass
ST00045,Information Technology,2,IT103,27,33,60,85,B,7,Pass
ST00045,Information Technology,2,IT104,19,51,70,82,B+,8,Pass
ST00045,Information Technology,2,IT105,29,30,59,80,C,6,Pass
ST00046,Mechanical,2,ME101,27,59,86,93,A,9,Pass
ST00046,Mechanical,2,ME102,15,20,35,90,F,0,Fail
ST00046,Mechanical,2,ME103,26,26,52,68,C,6,Pass
ST00046,Mechanical,2,ME104,19,40,59,80,C,6,Pass
ST00046,Mechanical,2,ME105,29,62,91,71,A+,10,Pass
ST00047,Mechanical,6,ME101,25,22,47,83,D,5,Pass
ST00047,Mechanical,6,ME102,24,61,85,92,A,9,Pass
ST00047,Mechanical,6,ME103,18,24,42,87,D,5,Pass
ST00047,Mechanical,6,ME104,16,70,86,73,A,9,Pass
ST00047,Mechanical,6,ME105,25,47,72,64,B+,8,Pass
ST00048,Mechanical,1,ME101,16,52,68,72,B,7,Pass
ST00048,Mechanical,1,ME102,27,42,69,62,B,7,Pass
ST00048,Mechanical,1,ME103,15,25,40,70,D,5,Pass
ST00048,Mechanical,1,ME104,28,23,51,87,C,6,Pass
ST00048,Mechanical,1,ME105,18,63,81,77,A,9,Pass
ST00049,Computer Science,7,CS101,16,23,39,100,F,0,Fail
ST00049,Computer Science,7,CS102,30,39,69,72,B,7,Pass
ST00049,Computer Science,7,CS103,16,21,37,74,F,0,Fail
ST00049,Computer Science,7,CS104,21,21,42,94,D,5,Pass
ST00049,Computer Science,7,CS105,17,68,85,90,A,9,Pass
ST00050,Electronics,1,EC101,30,66,96,63,A+,10,Pass
ST00050,Electronics,1,EC102,16,39,55,64,C,6,Pass
ST00050,Electronics,1,EC103,16,66,82,82,A,9,Pass
ST00050,Electronics,1,EC104,15,26,41,75,D,5,Pass
ST00050,Electronics,1,EC105,28,57,85,68,A,9,Pass
ST00051,Business Analytics,1,BA101,25,44,69,87,B,7,Pass
ST00051,Business Analytics,1,BA102,30,20,50,63,C,6,Pass
ST00051,Business Analytics,1,BA103,22,60,82,95,A,9,Pass
ST00051,Business Analytics,1,BA104,16,20,36,93,F,0,Fail
ST00051,Business Analytics,1,BA105,28,54,82,79,A,9,Pass
ST00052,Business Analytics,8,BA101,26,24,50,68,C,6,Pass
ST00052,Business Analytics,8,BA102,20,26,46,72,D,5,Pass
ST00052,Business Analytics,8,BA103,15,65,80,63,A,9,Pass
ST00052,Business Analytics,8,BA104,30,39,69,82,B,7,Pass
ST00052,Business Analytics,8,BA105,27,26,53,63,C,6,Pass
ST00053,Mechanical,8,ME101,29,44,73,60,B+,8,Pass
ST00053,Mechanical,8,ME102,28,40,68,69,B,7,Pass
ST00053,Mechanical,8,ME103,18,58,76,64,B+,8,Pass
ST00053,Mechanical,8,ME104,25,37,62,80,B,7,Pass
ST00053,Mechanical,8,ME105,17,66,83,88,A,9,Pass
ST00054,Electronics,4,EC101,22,43,65,69,B,7,Pass
ST00054,Electronics,4,EC102,19,33,52,89,C,6,Pass
ST00054,Electronics,4,EC103,27,21,48,80,D,5,Pass
ST00054,Electronics,4,EC104,23,43,66,67,B,7,Pass
ST00054,Electronics,4,EC105,19,41,60,89,B,7,Pass
ST00055,Data Science,4,DS101,26,21,47,68,D,5,Pass
ST00055,Data Science,4,DS102,24,27,51,90,C,6,Pass
ST00055,Data Science,4,DS103,28,22,50,71,C,6,Pass
ST00055,Data Science,4,DS104,16,59,75,82,B+,8,Pass
ST00055,Data Science,4,DS105,20,35,55,66,C,6,Pass
ST00056,Mechanical,2,ME101,23,69,92,100,A+,10,Pass
ST00056,Mechanical,2,ME102,26,33,59,92,C,6,Pass
ST00056,Mechanical,2,ME103,30,53,83,97,A,9,Pass
ST00056,Mechanical,2,ME104,24,21,45,88,D,5,Pass
ST00056,Mechanical,2,ME105,24,65,89,79,A,9,Pass
ST00057,Data Science,1,DS101,27,43,70,87,B+,8,Pass
ST00057,Data Science,1,DS102,22,39,61,92,B,7,Pass
ST00057,Data Science,1,DS103,28,25,53,75,C,6,Pass
ST00057,Data Science,1,DS104,28,67,95,99,A+,10,Pass
ST00057,Data Science,1,DS105,30,46,76,63,B+,8,Pass
ST00058,Mechanical,4,ME101,20,21,41,98,D,5,Pass
ST00058,Mechanical,4,ME102,20,69,89,77,A,9,Pass
ST00058,Mechanical,4,ME103,22,41,63,78,B,7,Pass
ST00058,Mechanical,4,ME104,19,49,68,62,B,7,Pass
ST00058,Mechanical,4,ME105,26,47,73,94,B+,8,Pass
ST00059,Information Technology,1,IT101,27,58,85,73,A,9,Pass
ST00059,Information Technology,1,IT102,29,43,72,86,B+,8,Pass
ST00059,Information Technology,1,IT103,25,31,56,85,C,6,Pass
ST00059,Information Technology,1,IT104,15,47,62,85,B,7,Pass
ST00059,Information Technology,1,IT105,16,43,59,98,C,6,Pass
ST00060,Civil,2,CV101,22,34,56,92,C,6,Pass
ST00060,Civil,2,CV102,25,68,93,94,A+,10,Pass
ST00060,Civil,2,CV103,29,27,56,69,C,6,Pass
ST00060,Civil,2,CV104,29,43,72,76,B+,8,Pass
ST00060,Civil,2,CV105,15,48,63,60,B,7,Pass
ST00061,Civil,5,CV101,18,66,84,98,A,9,Pass
ST00061,Civil,5,CV102,16,42,58,83,C,6,Pass
ST00061,Civil,5,CV103,27,36,63,71,B,7,Pass
ST00061,Civil,5,CV104,21,63,84,99,A,9,Pass
ST00061,Civil,5,CV105,30,41,71,83,B+,8,Pass
ST00062,Electronics,7,EC101,20,62,82,60,A,9,Pass
ST00062,Electronics,7,EC102,17,53,70,60,B+,8,Pass
ST00062,Electronics,7,EC103,15,35,50,93,C,6,Pass
ST00062,Electronics,7,EC104,18,40,58,100,C,6,Pass
ST00062,Electronics,7,EC105,27,33,60,61,B,7,Pass
ST00063,Computer Science,3,CS101,19,23,42,77,D,5,Pass
ST00063,Computer Science,3,CS102,27,43,70,89,B+,8,Pass
ST00063,Computer Science,3,CS103,27,55,82,67,A,9,Pass
ST00063,Computer Science,3,CS104,26,23,49,90,D,5,Pass
ST00063,Computer Science,3,CS105,16,55,71,60,B+,8,Pass
ST00064,Artificial Intelligence,4,AI101,23,44,67,99,B,7,Pass
ST00064,Artificial Intelligence,4,AI102,27,32,59,61,C,6,Pass
ST00064,Artificial Intelligence,4,AI103,18,28,46,69,D,5,Pass
ST00064,Artificial Intelligence,4,AI104,24,51,75,90,B+,8,Pass
ST00064,Artificial Intelligence,4,AI105,24,44,68,75,B,7,Pass
ST00065,Artificial Intelligence,5,AI101,27,61,88,95,A,9,Pass
ST00065,Artificial Intelligence,5,AI102,19,66,85,84,A,9,Pass
ST00065,Artificial Intelligence,5,AI103,17,30,47,63,D,5,Pass
ST00065,Artificial Intelligence,5,AI104,30,53,83,96,A,9,Pass
ST00065,Artificial Intelligence,5,AI105,16,27,43,71,D,5,Pass
ST00066,Civil,3,CV101,20,46,66,96,B,7,Pass
ST00066,Civil,3,CV102,21,62,83,83,A,9,Pass
ST00066,Civil,3,CV103,19,32,51,60,C,6,Pass
ST00066,Civil,3,CV104,21,57,78,89,B+,8,Pass
ST00066,Civil,3,CV105,17,51,68,60,B,7,Pass
ST00067,Electronics,2,EC101,15,35,50,60,C,6,Pass
ST00067,Electronics,2,EC102,26,51,77,63,B+,8,Pass
ST00067,Electronics,2,EC103,28,41,69,99,B,7,Pass
ST00067,Electronics,2,EC104,15,67,82,100,A,9,Pass
ST00067,Electronics,2,EC105,22,70,92,87,A+,10,Pass
ST00068,Electronics,3,EC101,23,23,46,78,D,5,Pass
ST00068,Electronics,3,EC102,25,49,74,82,B+,8,Pass
ST00068,Electronics,3,EC103,25,66,91,80,A+,10,Pass
ST00068,Electronics,3,EC104,27,56,83,80,A,9,Pass
ST00068,Electronics,3,EC105,16,43,59,80,C,6,Pass
ST00069,Mechanical,2,ME101,25,35,60,77,B,7,Pass
ST00069,Mechanical,2,ME102,18,32,50,60,C,6,Pass
ST00069,Mechanical,2,ME103,27,25,52,73,C,6,Pass
ST00069,Mechanical,2,ME104,15,44,59,86,C,6,Pass
ST00069,Mechanical,2,ME105,20,48,68,99,B,7,Pass
ST00070,Information Technology,7,IT101,19,40,59,98,C,6,Pass
ST00070,Information Technology,7,IT102,15,49,64,75,B,7,Pass
ST00070,Information Technology,7,IT103,29,42,71,79,B+,8,Pass
ST00070,Information Technology,7,IT104,19,43,62,75,B,7,Pass
ST00070,Information Technology,7,IT105,18,21,39,60,F,0,Fail
ST00071,Information Technology,3,IT101,25,44,69,66,B,7,Pass
ST00071,Information Technology,3,IT102,18,33,51,62,C,6,Pass
ST00071,Information Technology,3,IT103,27,54,81,100,A,9,Pass
ST00071,Information Technology,3,IT104,27,26,53,69,C,6,Pass
ST00071,Information Technology,3,IT105,29,42,71,90,B+,8,Pass
ST00072,Artificial Intelligence,8,AI101,23,70,93,80,A+,10,Pass
ST00072,Artificial Intelligence,8,AI102,29,36,65,93,B,7,Pass
ST00072,Artificial Intelligence,8,AI103,26,31,57,83,C,6,Pass
ST00072,Artificial Intelligence,8,AI104,17,27,44,79,D,5,Pass
ST00072,Artificial Intelligence,8,AI105,28,36,64,75,B,7,Pass
ST00073,Artificial Intelligence,3,AI101,29,36,65,63,B,7,Pass
ST00073,Artificial Intelligence,3,AI102,22,32,54,83,C,6,Pass
ST00073,Artificial Intelligence,3,AI103,19,44,63,99,B,7,Pass
ST00073,Artificial Intelligence,3,AI104,20,49,69,90,B,7,Pass
ST00073,Artificial Intelligence,3,AI105,23,45,68,92,B,7,Pass
ST00074,Data Science,7,DS101,16,26,42,89,D,5,Pass
ST00074,Data Science,7,DS102,26,39,65,98,B,7,Pass
ST00074,Data Science,7,DS103,26,62,88,71,A,9,Pass
ST00074,Data Science,7,DS104,21,61,82,79,A,9,Pass
ST00074,Data Science,7,DS105,15,39,54,60,C,6,Pass
ST00075,Artificial Intelligence,1,AI101,19,43,62,97,B,7,Pass
ST00075,Artificial Intelligence,1,AI102,21,39,60,95,B,7,Pass
ST00075,Artificial Intelligence,1,AI103,19,37,56,65,C,6,Pass
ST00075,Artificial Intelligence,1,AI104,24,21,45,92,D,5,Pass
ST00075,Artificial Intelligence,1,AI105,18,43,61,67,B,7,Pass
ST00076,Information Technology,7,IT101,15,56,71,90,B+,8,Pass
ST00076,Information Technology,7,IT102,20,62,82,85,A,9,Pass
ST00076,Information Technology,7,IT103,25,44,69,90,B,7,Pass
ST00076,Information Technology,7,IT104,21,22,43,68,D,5,Pass
ST00076,Information Technology,7,IT105,27,45,72,98,B+,8,Pass
ST00077,Mechanical,6,ME101,20,66,86,83,A,9,Pass
ST00077,Mechanical,6,ME102,25,42,67,91,B,7,Pass
ST00077,Mechanical,6,ME103,21,28,49,88,D,5,Pass
ST00077,Mechanical,6,ME104,22,66,88,94,A,9,Pass
ST00077,Mechanical,6,ME105,16,50,66,62,B,7,Pass
ST00078,Computer Science,3,CS101,27,33,60,95,B,7,Pass
ST00078,Computer Science,3,CS102,30,43,73,100,B+,8,Pass
ST00078,Computer Science,3,CS103,28,43,71,75,B+,8,Pass
ST00078,Computer Science,3,CS104,29,28,57,89,C,6,Pass
ST00078,Computer Science,3,CS105,22,29,51,75,C,6,Pass
ST00079,Computer Science,8,CS101,23,53,76,81,B+,8,Pass
ST00079,Computer Science,8,CS102,30,30,60,79,B,7,Pass
ST00079,Computer Science,8,CS103,25,25,50,60,C,6,Pass
ST00079,Computer Science,8,CS104,18,51,69,74,B,7,Pass
ST00079,Computer Science,8,CS105,24,42,66,74,B,7,Pass
ST00080,Civil,2,CV101,30,58,88,66,A,9,Pass
ST00080,Civil,2,CV102,28,35,63,75,B,7,Pass
ST00080,Civil,2,CV103,30,66,96,89,A+,10,Pass
ST00080,Civil,2,CV104,23,50,73,91,B+,8,Pass
ST00080,Civil,2,CV105,15,48,63,80,B,7,Pass
ST00081,Mechanical,3,ME101,29,23,52,63,C,6,Pass
ST00081,Mechanical,3,ME102,17,39,56,94,C,6,Pass
ST00081,Mechanical,3,ME103,20,30,50,65,C,6,Pass
ST00081,Mechanical,3,ME104,19,48,67,89,B,7,Pass
ST00081,Mechanical,3,ME105,26,67,93,85,A+,10,Pass
ST00082,Mechanical,5,ME101,24,49,73,86,B+,8,Pass
ST00082,Mechanical,5,ME102,24,40,64,73,B,7,Pass
ST00082,Mechanical,5,ME103,20,32,52,63,C,6,Pass
ST00082,Mechanical,5,ME104,15,30,45,65,D,5,Pass
ST00082,Mechanical,5,ME105,20,53,73,74,B+,8,Pass
ST00083,Computer Science,5,CS101,18,65,83,83,A,9,Pass
ST00083,Computer Science,5,CS102,23,42,65,61,B,7,Pass
ST00083,Computer Science,5,CS103,16,58,74,78,B+,8,Pass
ST00083,Computer Science,5,CS104,22,67,89,71,A,9,Pass
